exports,imports,net_in,net_out,time,balance
305799,457771,235906,132193,2005/1/1,-151972
324493,497369,325453,238597,2005/4/1,-172876
320656,517349,431330,214416,2005/7/1,-196693
340554,535556,284367,-22209,2005/10/1,-195002
342574,519011,584071,430838,2006/1/1,-176437
368458,561873,431879,243832,2006/4/1,-193415
365911,581748,532998,302966,2006/7/1,-215837
387047,564891,571531,346986,2006/10/1,-177844
383185,546127,788716,553802,2007/1/1,-162942
409715,589255,738059,581285,2007/4/1,-179540
420319,610628,298567,225296,2007/7/1,-190309
447597,625802,364744,203084,2007/10/1,-178205
446614,611523,473022,266966,2008/1/1,-164909
482703,671616,751,-158757,2008/4/1,-188913
482460,695360,95977,-85193,2008/7/1,-212900
437809,583437,-107342,-340609,2008/10/1,-145628
368569,452794,-109333,-111137,2009/1/1,-84225
383435,469189,-12262,-19016,2009/4/1,-85754
401597,519368,347094,323641,2009/7/1,-117771
439191,546213,100145,-62406,2009/10/1,-107022
431149,533929,320671,263037,2010/1/1,-102780
460042,594254,187676,171357,2010/4/1,-134212
473008,623733,560657,317157,2010/7/1,-150725
508122,623491,322038,207186,2010/10/1,-115369
502420,621214,597879,398543,2011/1/1,-118794
539071,684873,130344,10872,2011/4/1,-145802
548502,703339,252468,93897,2011/7/1,-154837
553559,688648,2830,-10756,2011/10/1,-135089
544472,669651,189067,-79263,2012/1/1,-125179
565895,707427,-122269,-147343,2012/4/1,-141532
558101,703042,298458,295974,2012/7/1,-144941
578985,693239,266778,101991,2012/10/1,-114254
554248,652331,256177,222355,2013/1/1,-98083
579200,697566,249697,215636,2013/4/1,-118366
578126,709488,173580,32645,2013/7/1,-131362
601549,700597,372614,155553,2013/10/1,-99048
571777,673637,305656,199105,2014/1/1,-101860
605587,733444,300203,224572,2014/4/1,-127857
603518,739806,374010,368424,2014/7/1,-136288
611732,729678,129574,73592,2014/10/1,-117946
556199,664293,430145,345378,2015/1/1,-108094
583785,707777,185302,46032,2015/4/1,-123992
572090,710557,-35708,-87487,2015/7/1,-138467
568704,688927,-76271,-159819,2015/10/1,-120223
527853,637029,134940,49548,2016/1/1,-109176
561001,682207,363424,364121,2016/4/1,-121206
569894,700539,256364,59395,2016/7/1,-130645
582076,700507,-48035,-136626,2016/10/1,-118431
567415,679096,426564,361258,2017/1/1,-111681
595301,729062,448477,331190,2017/4/1,-133761
600214,739693,504367,372791,2017/7/1,-139479
631546,763564,179812,96746,2017/10/1,-132018
611365,733502,430205,353958,2018/1/1,-122137
647562,781641,-147347,-155943,2018/4/1,-134079
637771,800944,111148,127306,2018/7/1,-163173
645765,804970,318171,104389,2018/10/1,-159205
616189,740454,150395,92443,2019/1/1,-124265
643872,793786,299142,72641,2019/4/1,-149914
637266,798665,285259,161793,2019/7/1,-161399
648950,772766,97470,-11297,2019/10/1,-123816
591901,705495,984218,856609,2020/1/1,-113594
457469,612528,-142652,-199320,2020/4/1,-155059
524643,722250,265411,72122,2020/7/1,-197607
586134,773565,514689,225397,2020/10/1,-187431
587265,758909,629784,451711,2021/1/1,-171644
634092,838564,447686,246795,2021/4/1,-204472
640495,885930,677787,478860,2021/7/1,-245435
708949,935469,220369,13662,2021/10/1,-226520
696637,942380,682093,410528,2022/1/1,-245743
777155,1032979,455516,370704,2022/4/1,-255824
783761,1026104,526793,316717,2022/7/1,-242343
781851,982704,-128887,-350840,2022/10/1,-200853
748107,926524,585143,211894,2023/1/1,-178417
759311,968246,312873,212540,2023/4/1,-208935
774226,982551,466981,281968,2023/7/1,-208325
790172,979387,522087,272202,2023/10/1,-189215
764968,945865,544856,376505,2024/1/1,-180897
794849,1025670,335174,191027,2024/4/1,-230821
809891,1071575,770966,276703,2024/7/1,-261684
820897,1065331,402820,11619,2024/10/1,-244434
