Date,Price
2005/1/1,1.211
2005/2/1,1.284
2005/3/1,1.132
2005/4/1,1.164
2005/5/1,1.185
2005/6/1,1.139
2005/7/1,1.165
2005/8/1,1.166
2005/9/1,1.279
2005/10/1,1.264
2005/11/1,1.279
2005/12/1,1.35
2006/1/1,1.449
2006/2/1,1.328
2006/3/1,1.302
2006/4/1,1.283
2006/5/1,1.206
2006/6/1,1.242
2006/7/1,1.213
2006/8/1,1.244
2006/9/1,1.254
2006/10/1,1.257
2006/11/1,1.354
2006/12/1,1.543
2007/1/1,1.549
2007/2/1,1.746
2007/3/1,1.634
2007/4/1,1.616
2007/5/1,1.504
2007/6/1,1.373
2007/7/1,1.502
2007/8/1,1.634
2007/9/1,1.825
2007/10/1,1.771
2007/11/1,1.862
2007/12/1,2.099
2008/1/1,2.175
2008/2/1,2.168
2008/3/1,2.203
2008/4/1,2.069
2008/5/1,1.93
2008/6/1,1.92
2008/7/1,2.011
2008/8/1,1.854
2008/9/1,1.978
2008/10/1,1.858
2008/11/1,1.838
2008/12/1,1.834
2009/1/1,1.85
2009/2/1,1.795
2009/3/1,1.693
2009/4/1,1.774
2009/5/1,1.501
2009/6/1,1.529
2009/7/1,1.495
2009/8/1,1.632
2009/9/1,1.627
2009/10/1,1.595
2009/11/1,1.705
2009/12/1,1.772
2010/1/1,1.789
2010/2/1,1.872
2010/3/1,1.822
2010/4/1,1.779
2010/5/1,1.523
2010/6/1,1.494
2010/7/1,1.441
2010/8/1,1.519
2010/9/1,1.753
2010/10/1,1.456
2010/11/1,1.675
2010/12/1,1.793
2011/1/1,1.806
2011/2/1,1.708
2011/3/1,1.732
2011/4/1,1.727
2011/5/1,1.692
2011/6/1,1.683
2011/7/1,1.647
2011/8/1,1.711
2011/9/1,1.947
2011/10/1,1.871
2011/11/1,1.836
2011/12/1,1.874
2012/1/1,1.939
2012/2/1,1.798
2012/3/1,1.774
2012/4/1,1.829
2012/5/1,1.691
2012/6/1,1.67
2012/7/1,1.648
2012/8/1,1.884
2012/9/1,1.889
2012/10/1,1.96
2012/11/1,1.963
2012/12/1,2.007
2013/1/1,1.933
2013/2/1,1.965
2013/3/1,1.925
2013/4/1,1.918
2013/5/1,1.87
2013/6/1,1.859
2013/7/1,1.833
2013/8/1,1.838
2013/9/1,1.897
2013/10/1,1.925
2013/11/1,1.925
2013/12/1,2.026
2014/1/1,2.008
2014/2/1,1.998
2014/3/1,2.061
2014/4/1,2.119
2014/5/1,1.996
2014/6/1,1.948
2014/7/1,1.95
2014/8/1,1.979
2014/9/1,1.97
2014/10/1,1.951
2014/11/1,2.032
2014/12/1,2.21
2015/1/1,2.113
2015/2/1,2.088
2015/3/1,2.133
2015/4/1,2.065
2015/5/1,1.962
2015/6/1,2.57
2015/7/1,2.57
2015/8/1,2.943
2015/9/1,2.966
2015/10/1,2.808
2015/11/1,2.664
2015/12/1,2.751
2016/1/1,2.328
2016/2/1,2.267
2016/3/1,2.081
2016/4/1,1.793
2016/5/1,1.684
2016/6/1,1.491
2016/7/1,1.546
2016/8/1,1.455
2016/9/1,1.471
2016/10/1,1.39
2016/11/1,1.321
2016/12/1,1.383
2017/1/1,1.599
2017/2/1,1.464
2017/3/1,1.404
2017/4/1,1.409
2017/5/1,1.414
2017/6/1,1.332
2017/7/1,1.333
2017/8/1,1.367
2017/9/1,1.422
2017/10/1,1.54
2017/11/1,1.506
2017/12/1,1.815
2018/1/1,1.769
2018/2/1,1.755
2018/3/1,1.831
2018/4/1,2.081
2018/5/1,1.987
2018/6/1,1.628
2018/7/1,1.725
2018/8/1,1.622
2018/9/1,1.651
2018/10/1,1.66
2018/11/1,1.596
2018/12/1,1.595
2019/1/1,1.554
2019/2/1,1.557
2019/3/1,1.544
2019/4/1,1.463
2019/5/1,1.362
2019/6/1,1.203
2019/7/1,1.243
2019/8/1,1.219
2019/9/1,1.383
2019/10/1,1.282
2019/11/1,1.405
2019/12/1,1.535
2020/1/1,1.461
2020/2/1,1.449
2020/3/1,1.525
2020/4/1,2.019
2020/5/1,1.64
2020/6/1,1.554
2020/7/1,1.401
2020/8/1,1.328
2020/9/1,1.353
2020/10/1,1.408
2020/11/1,1.45
2020/12/1,1.481
2021/1/1,1.466
2021/2/1,1.597
2021/3/1,1.625
2021/4/1,1.62
2021/5/1,1.625
2021/6/1,1.642
2021/7/1,1.642
2021/8/1,1.709
2021/9/1,1.835
2021/10/1,1.821
2021/11/1,1.718
2021/12/1,1.788
2022/1/1,1.929
2022/2/1,2.005
2022/3/1,2.046
2022/4/1,2.52
2022/5/1,2.863
2022/6/1,2.707
2022/7/1,2.936
2022/8/1,3.116
2022/9/1,2.902
2022/10/1,3.419
2022/11/1,3.589
2022/12/1,4.25
2023/1/1,4.823
2023/2/1,4.211
2023/3/1,3.446
2023/4/1,3.27
2023/5/1,2.666
2023/6/1,2.219
2023/7/1,2.094
2023/8/1,2.043
2023/9/1,2.065
2023/10/1,2.072
2023/11/1,2.138
2023/12/1,2.507
2024/1/1,2.522
2024/2/1,2.996
2024/3/1,2.992
2024/4/1,2.864
2024/5/1,2.699
2024/6/1,2.715
2024/7/1,3.08
2024/8/1,3.204
2024/9/1,3.821
2024/10/1,3.37
2024/11/1,3.649
2024/12/1,4.146
