"Date","Price"
2014-12-31,418.12
2015-01-02,414.96
2015-01-05,404.61
2015-01-06,397.95
2015-01-07,396.68
2015-01-08,397.1
2015-01-09,395.01
2015-01-12,384.79
2015-01-13,381.02
2015-01-14,388.98
2015-01-15,382.72
2015-01-16,391.44
2015-01-20,381.24
2015-01-21,386.15
2015-01-22,381.68
2015-01-23,379.74
2015-01-26,377.65
2015-01-27,382.2
2015-01-28,376.73
2015-01-29,375.08
2015-01-30,389.68
2015-02-02,396.34
2015-02-03,412.7
2015-02-04,395.9
2015-02-05,404.06
2015-02-06,410.41
2015-02-09,417.09
2015-02-10,408.59
2015-02-11,404.24
2015-02-12,416.98
2015-02-13,425.99
2015-02-17,426.25
2015-02-18,420.57
2015-02-19,418.36
2015-02-20,416.17
2015-02-23,410.59
2015-02-24,410.19
2015-02-25,418.4
2015-02-26,411.72
2015-02-27,421.24
2015-03-02,413.06
2015-03-03,417.21
2015-03-04,417.37
2015-03-05,414.71
2015-03-06,411.78
2015-03-09,410.58
2015-03-10,402.92
2015-03-11,405.51
2015-03-12,403.36
2015-03-13,393.35
2015-03-16,389.73
2015-03-17,386.91
2015-03-18,395.91
2015-03-19,392.02
2015-03-20,398.17
2015-03-23,401.82
2015-03-24,400.17
2015-03-25,404.72
2015-03-26,413.4
2015-03-27,402.71
2015-03-30,402.4
2015-03-31,396.65
2015-04-01,406.71
2015-04-02,400.97
2015-04-06,413.14
2015-04-07,417.87
2015-04-08,404.07
2015-04-09,406.35
2015-04-10,412.37
2015-04-13,412.76
2015-04-14,417.95
2015-04-15,430.83
2015-04-16,434.67
2015-04-17,431.71
2015-04-20,430.82
2015-04-21,426.16
2015-04-22,426.56
2015-04-23,435.07
2015-04-24,435.42
2015-04-27,434.02
2015-04-28,434.67
2015-04-29,440.9
2015-04-30,445.58
2015-05-01,443.83
2015-05-04,444.03
2015-05-05,450.6
2015-05-06,450.97
2015-05-07,441.85
2015-05-08,444.31
2015-05-11,442.28
2015-05-12,450.83
2015-05-13,451.52
2015-05-14,451.84
2015-05-15,450.76
2015-05-18,448.74
2015-05-19,437.39
2015-05-20,440.59
2015-05-21,448.08
2015-05-22,441.93
2015-05-26,432.59
2015-05-27,427.2
2015-05-28,429.16
2015-05-29,439.09
2015-06-01,438.48
2015-06-02,443.49
2015-06-03,436.19
2015-06-04,428.76
2015-06-05,432.88
2015-06-08,432.21
2015-06-09,442.54
2015-06-10,447.25
2015-06-11,442.92
2015-06-12,437.93
2015-06-15,434.39
2015-06-16,435.72
2015-06-17,436.43
2015-06-18,437.47
2015-06-19,431.55
2015-06-22,433.15
2015-06-23,438.79
2015-06-24,435.16
2015-06-25,434.16
2015-06-26,435.74
2015-06-29,431.61
2015-06-30,440.69
2015-07-01,432.64
2015-07-02,433.81
2015-07-06,412.51
2015-07-07,409.29
2015-07-08,409.36
2015-07-09,415.45
2015-07-10,415.48
2015-07-13,413.66
2015-07-14,414.79
2015-07-15,407.85
2015-07-16,406.15
2015-07-17,404.73
2015-07-20,400.11
2015-07-21,400.86
2015-07-22,395.35
2015-07-23,391.01
2015-07-24,386.64
2015-07-27,380.66
2015-07-28,383.54
2015-07-29,384.76
2015-07-30,383.65
2015-07-31,378.38
2015-08-03,368.68
2015-08-04,371.33
2015-08-05,369.32
2015-08-06,367.43
2015-08-07,365.42
2015-08-10,375.04
2015-08-11,367.05
2015-08-12,367.89
2015-08-13,365.67
2015-08-14,365.02
2015-08-17,362.4
2015-08-18,362.27
2015-08-19,354.79
2015-08-20,355.2
2015-08-21,348.11
2015-08-24,336.88
2015-08-25,339.75
2015-08-26,335.51
2015-08-27,353.62
2015-08-28,365.65
2015-08-31,380.85
2015-09-01,364.14
2015-09-02,366.64
2015-09-03,369.67
2015-09-04,364.87
2015-09-08,366.93
2015-09-09,359.92
2015-09-10,366.64
2015-09-11,363.47
2015-09-14,359.61
2015-09-15,360.44
2015-09-16,368.37
2015-09-17,365.76
2015-09-18,357.59
2015-09-21,364.58
2015-09-22,362.28
2015-09-23,357.26
2015-09-24,358.31
2015-09-25,362.01
2015-09-28,355.7
2015-09-29,358.67
2015-09-30,359.34
2015-10-01,356.7
2015-10-02,358.25
2015-10-05,363.65
2015-10-06,374.65
2015-10-07,372.57
2015-10-08,378
2015-10-09,379.52
2015-10-12,370.26
2015-10-13,368.59
2015-10-14,368.19
2015-10-15,366.58
2015-10-16,369.21
2015-10-19,361.61
2015-10-20,362.73
2015-10-21,359.15
2015-10-22,359.96
2015-10-23,357.09
2015-10-26,354.65
2015-10-27,351.24
2015-10-28,361.58
2015-10-29,360.44
2015-10-30,363.44
2015-11-02,360.54
2015-11-03,368.17
2015-11-04,360.07
2015-11-05,355.41
2015-11-06,353.68
2015-11-09,350.98
2015-11-10,351.54
