"Date","Price","Open","High","Low","Vol.","Change.."
2005-01-02,418.95,"437.75","418.95","418.95","","-4.45%"
2005-01-09,423.15,"419.25","423.15","423.15","","1.00%"
2005-01-16,426.75,"422.5","426.75","426.75","","0.85%"
2005-01-23,426.8,"427.4","426.8","426.8","","0.01%"
2005-01-30,414.6,"426.4","414.6","414.6","","-2.86%"
2005-02-06,420.88,"414.62","420.88","420.88","","1.51%"
2005-02-13,427.43,"420.62","427.43","427.43","","1.56%"
2005-02-20,434.93,"428.77","434.93","434.93","","1.75%"
2005-02-27,434,"434.9","434","434","","-0.21%"
2005-03-06,445.85,"433.95","445.85","445.85","","2.73%"
2005-03-13,439.35,"445.6","439.35","439.35","","-1.46%"
2005-03-20,426.25,"439.5","426.25","426.25","","-2.98%"
2005-03-27,426.15,"425.35","426.15","426.15","","-0.02%"
2005-04-03,425.12,"425.88","425.12","425.12","","-0.24%"
2005-04-10,425,"426.9","425","425","","-0.03%"
2005-04-17,434.6,"424.65","434.6","434.6","","2.26%"
2005-04-24,434.88,"434.07","434.88","434.88","","0.06%"
2005-05-01,425.73,"434.38","425.73","425.73","","-2.10%"
2005-05-08,420.4,"426.4","420.4","420.4","","-1.25%"
2005-05-15,417.77,"420.38","417.77","417.77","","-0.63%"
2005-05-22,420.05,"417.65","420.05","420.05","","0.55%"
2005-05-29,422.45,"419.6","422.45","422.45","","0.57%"
2005-06-05,427.35,"422.65","427.35","427.35","","1.16%"
2005-06-12,438.35,"425.85","438.35","438.35","","2.57%"
2005-06-19,440.55,"438.1","440.55","440.55","","0.50%"
2005-06-26,427.65,"439.6","427.65","427.65","","-2.93%"
2005-07-03,423.05,"428.35","423.05","423.05","","-1.08%"
2005-07-10,421.55,"423.85","421.55","421.55","","-0.35%"
2005-07-17,424.9,"421.4","424.9","424.9","","0.79%"
2005-07-24,430.2,"425.2","430.2","430.2","","1.25%"
2005-07-31,437.95,"429.85","437.95","437.95","","1.80%"
2005-08-07,446.2,"437.4","446.2","446.2","","1.88%"
2005-08-14,436.3,"446.25","436.3","436.3","","-2.22%"
2005-08-21,437.6,"437.4","437.6","437.6","","0.30%"
2005-08-28,444.65,"438.75","444.65","444.65","","1.61%"
2005-09-04,449.25,"444.35","449.25","449.25","","1.03%"
2005-09-11,459.75,"449.85","459.75","459.75","","2.34%"
2005-09-18,463.25,"459.35","463.25","463.25","","0.76%"
2005-09-25,469.15,"463.85","469.15","469.15","","1.27%"
2005-10-02,474.15,"467.6","474.15","474.15","","1.07%"
2005-10-09,469.6,"474.65","469.6","469.6","","-0.96%"
2005-10-16,466.88,"469.62","466.88","466.88","","-0.58%"
2005-10-23,473.45,"466.2","473.45","473.45","","1.41%"
2005-10-30,456.6,"472.9","456.6","456.6","","-3.56%"
2005-11-06,468.7,"457","468.7","468.7","","2.65%"
2005-11-13,485.8,"469.4","485.8","485.8","","3.65%"
2005-11-20,496.07,"485.12","496.07","496.07","","2.11%"
2005-11-27,503.4,"497.15","503.4","503.4","","1.48%"
2005-12-04,526.05,"504.35","526.05","526.05","","4.50%"
2005-12-11,503.3,"527.4","503.3","503.3","","-4.32%"
2005-12-18,503,"504.9","503","503","","-0.06%"
2005-12-25,517.6,"503.9","517.6","517.6","","2.90%"
2006-01-01,539.65,"517.1","539.65","539.65","","4.26%"
2006-01-08,556.88,"539.38","556.88","556.88","","3.19%"
2006-01-15,553.8,"556.9","568","553.4","","-0.55%"
2006-01-22,559.55,"553.45","566.65","549.45","","1.04%"
2006-01-29,567.65,"558.45","575.05","558.35","","1.45%"
2006-02-05,550.95,"569.2","573.95","545.35","","-2.94%"
2006-02-12,552.15,"550.35","554.45","534.95","","0.22%"
2006-02-19,558.95,"552.2","559.95","547.45","","1.23%"
2006-02-26,565.05,"558.45","570.95","552.65","","1.09%"
2006-03-05,540.35,"565.95","568.6","534.05","","-4.37%"
2006-03-12,553.85,"541.2","557.95","540.95","","2.50%"
2006-03-19,560.45,"554.55","561.15","545.05","","1.19%"
2006-03-26,583.65,"559.95","589.15","558.65","","4.14%"
2006-04-02,588.45,"582.95","598.45","582.25","","0.82%"
2006-04-09,599.8,"589.25","604.5","588.4","","1.93%"
2006-04-16,634,"600.4","646.15","600.4","","5.70%"
2006-04-23,654.5,"639.5","655.8","619","","3.23%"
2006-04-30,682.7,"654.6","684.6","652.4","","4.31%"
2006-05-07,714.8,"685.2","730.5","670.5","","4.70%"
2006-05-14,657.6,"714.1","720.9","651.4","","-8.00%"
2006-05-21,652,"656.6","674","636.6","","-0.85%"
2006-05-28,638.2,"653.15","665","618.9","","-2.12%"
2006-06-04,607.45,"638.65","645.35","601","","-4.82%"
2006-06-11,580.85,"603.85","611.75","543.35","","-4.38%"
2006-06-18,583.35,"580.35","595.15","560.85","","0.43%"
2006-06-25,613.1,"584.9","615.9","576.9","","5.10%"
2006-07-02,630.55,"618.25","637.75","617.25","","2.85%"
2006-07-09,665.15,"630.25","668.5","620.75","","5.49%"
2006-07-16,620.75,"668.75","676.75","616.25","","-6.68%"
2006-07-23,635.9,"621","641","602.1","","2.44%"
2006-07-30,646.45,"636.75","656.2","629.65","","1.66%"
2006-08-06,632.7,"644.3","655.05","626.5","","-2.13%"
2006-08-13,615,"633.4","633.4","607.4","","-2.80%"
2006-08-20,623.25,"614.35","631.55","614.15","","1.34%"
2006-08-27,625.5,"622.1","628.1","607.3","","0.36%"
2006-09-03,610.8,"625.05","640.75","606.7","","-2.35%"
2006-09-10,579.85,"610.15","611.15","571.95","","-5.07%"
2006-09-17,588.3,"581.1","593","572.8","","1.46%"
2006-09-24,598.3,"589.25","607","582.5","","1.70%"
2006-10-01,573.8,"598.5","604.2","559.9","","-4.09%"
2006-10-08,590,"575.5","590.8","569.3","","2.82%"
2006-10-15,591.9,"591","602.7","585.9","","0.32%"
2006-10-22,600.05,"590.75","600.05","573.85","","1.38%"
2006-10-29,628,"599","629","598.5","","4.66%"
2006-11-05,628.7,"626.5","637","613.4","","0.11%"
2006-11-12,622,"629.1","632.9","614.8","","-1.07%"
2006-11-19,638.2,"621.5","640.3","620.9","","2.60%"
2006-11-26,645.8,"639","650","632.7","","1.19%"
2006-12-03,625.15,"645.5","649.25","625.15","","-3.20%"
2006-12-10,615.25,"625.15","631.5","614.95","","-1.58%"
2006-12-17,621,"615.4","624.5","611.8","","0.93%"
2006-12-24,636.8,"620.5","636.8","620","","2.54%"
2006-12-31,607.4,"637.3","645.4","602.2","","-4.62%"
2007-01-07,626.9,"608.75","627.7","604.4","","3.21%"
2007-01-14,635.5,"626.2","636.9","620.7","","1.37%"
2007-01-21,646.6,"635.75","654.5","632.7","","1.75%"
2007-01-28,648.25,"646.15","661.85","641.05","","0.26%"
2007-02-04,666.65,"648.35","668.15","646.45","","2.84%"
2007-02-11,669.05,"667.95","672.2","660","","0.36%"
2007-02-18,682.85,"669.35","688.55","655.75","","2.06%"
2007-02-25,642.95,"681.65","689.35","640.15","","-5.84%"
2007-03-04,650.27,"643.67","658.38","632.67","","1.14%"
