Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: December 19, 2024 - Next Release Date January 30, 2025"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Gross domestic product",12767.3,12922.7,13142.6,13324.2,13599.2,13753.4,13870.2,14039.6,14215.7,14402.1,14564.1,14715.1,14706.5,14865.7,14899.0,14608.2,14430.9,14381.2,14448.9,14651.2,14764.6,14980.2,15141.6,15309.5,15351.4,15557.5,15647.7,15842.3,16068.8,16207.1,16319.5,16420.4,16648.2,16728.7,16953.8,17192.0,17197.7,17518.5,17804.2,17912.1,18063.5,18279.8,18401.6,18435.1,18525.9,18711.7,18892.6,19089.4,19280.1,19438.6,19692.6,20037.1,20328.6,20580.9,20798.7,20917.9,21111.6,21397.9,21717.2,21933.2,21727.7,19935.4,21684.6,22068.8,22656.8,23368.9,23922.0,24777.0,25215.5,25805.8,26272.0,26734.3,27164.4,27453.8,27967.7,28297.0,28624.1,29016.7,29374.9
2,Personal consumption expenditures,8551.7,8701.1,8868.1,8955.3,9100.2,9227.6,9353.8,9427.4,9572.1,9678.7,9798.4,9937.1,10004.4,10129.9,10159.1,9906.9,9815.0,9805.5,9939.4,10005.0,10101.8,10208.1,10300.8,10430.3,10558.2,10673.0,10755.0,10809.2,10959.3,11005.1,11059.4,11165.7,11277.7,11315.7,11408.4,11551.2,11646.0,11810.5,11959.8,12081.6,12119.8,12264.1,12382.5,12423.4,12523.2,12665.1,12797.1,12922.0,13097.3,13188.7,13325.1,13551.4,13745.1,13891.3,14002.2,14099.2,14150.2,14350.7,14548.3,14701.0,14496.2,13175.6,14478.0,14752.7,15259.4,16016.3,16363.9,16816.1,17175.1,17603.8,17876.2,18108.3,18506.2,18685.7,18929.0,19170.2,19424.8,19682.7,19938.4
3,"    Goods",3001.9,3057.4,3137.8,3134.5,3196.8,3226.1,3273.4,3262.2,3308.1,3351.8,3380.0,3428.2,3406.4,3443.5,3427.9,3175.1,3120.0,3134.5,3228.5,3237.1,3266.2,3291.2,3315.1,3398.8,3469.0,3514.5,3527.8,3561.2,3628.7,3616.4,3631.8,3674.1,3736.7,3710.5,3745.3,3776.2,3810.3,3885.9,3921.9,3928.2,3896.8,3958.9,3993.6,3971.2,3971.5,4023.8,4050.8,4086.0,4144.9,4163.0,4216.0,4324.9,4387.9,4409.9,4422.5,4436.6,4430.1,4528.0,4576.2,4597.0,4556.4,4385.5,4915.3,4969.7,5248.9,5543.6,5501.8,5707.1,5846.1,5971.1,5973.0,5966.2,6084.8,6088.1,6147.9,6174.8,6148.9,6204.6,6265.1
4,"        Durable goods",1110.0,1137.9,1151.8,1114.7,1154.1,1149.2,1160.5,1169.4,1179.0,1185.7,1191.9,1195.6,1153.5,1137.7,1095.8,1008.0,1004.5,994.7,1035.1,1014.2,1021.1,1043.9,1052.4,1078.4,1087.9,1082.9,1090.8,1112.4,1138.1,1133.6,1141.7,1163.6,1189.7,1187.6,1191.9,1197.9,1207.5,1244.2,1261.3,1276.0,1291.0,1317.8,1326.9,1327.5,1338.7,1345.9,1366.3,1375.1,1385.1,1394.4,1417.8,1466.4,1483.3,1488.1,1491.6,1492.2,1482.6,1517.9,1544.2,1549.9,1475.0,1455.7,1751.7,1785.2,1917.4,2050.3,1953.3,2040.1,2084.5,2078.8,2083.4,2065.4,2146.4,2143.1,2141.7,2139.3,2127.3,2141.8,2168.4
5,"        Nondurable goods",1892.0,1919.5,1986.0,2019.7,2042.7,2076.8,2112.9,2092.8,2129.1,2166.1,2188.2,2232.6,2252.9,2305.8,2332.1,2167.1,2115.5,2139.8,2193.4,2222.9,2245.1,2247.3,2262.7,2320.4,2381.1,2431.6,2437.0,2448.8,2490.6,2482.8,2490.1,2510.5,2547.0,2522.9,2553.3,2578.4,2602.8,2641.6,2660.7,2652.2,2605.7,2641.2,2666.7,2643.7,2632.9,2677.9,2684.4,2710.9,2759.8,2768.6,2798.2,2858.6,2904.6,2921.8,2930.8,2944.3,2947.4,3010.2,3032.0,3047.1,3081.4,2929.7,3163.5,3184.5,3331.6,3493.3,3548.6,3667.0,3761.6,3892.3,3889.6,3900.8,3938.5,3945.1,4006.2,4035.4,4021.5,4062.8,4096.7
6,"    Services",5549.8,5643.7,5730.2,5820.8,5903.3,6001.6,6080.3,6165.1,6264.0,6326.9,6418.4,6509.0,6598.1,6686.3,6731.2,6731.9,6694.9,6671.0,6710.9,6767.9,6835.7,6916.9,6985.6,7031.5,7089.2,7158.6,7227.3,7248.0,7330.6,7388.7,7427.6,7491.6,7540.9,7605.2,7663.1,7775.0,7835.7,7924.6,8037.9,8153.3,8223.0,8305.2,8388.9,8452.2,8551.6,8641.3,8746.4,8836.0,8952.4,9025.7,9109.0,9226.5,9357.2,9481.4,9579.7,9662.6,9720.1,9822.6,9972.1,10104.0,9939.9,8790.2,9562.8,9783.0,10010.5,10472.7,10862.0,11109.1,11329.0,11632.7,11903.3,12142.1,12421.4,12597.6,12781.1,12995.4,13275.9,13478.1,13673.3
7,Gross private domestic investment,2486.1,2476.5,2531.1,2645.3,2709.7,2709.3,2709.4,2675.4,2664.3,2699.2,2686.0,2642.6,2563.7,2540.6,2498.2,2307.9,2014.9,1863.7,1841.4,1998.7,2038.2,2148.8,2236.5,2238.4,2206.0,2297.4,2322.8,2504.1,2567.8,2636.9,2644.1,2638.3,2746.4,2780.2,2892.4,2934.3,2922.8,3059.1,3142.0,3172.0,3282.3,3291.1,3303.7,3276.9,3244.3,3246.4,3261.6,3361.0,3363.1,3433.0,3500.1,3574.4,3645.6,3662.7,3788.7,3802.0,3850.8,3904.0,3939.6,3880.6,3802.0,3270.4,3901.3,4046.3,4045.5,4017.6,4232.8,4599.2,4784.8,4786.5,4801.6,4911.9,4847.2,4925.7,5063.4,5102.8,5159.9,5297.8,5345.2
8,"    Fixed investment",2383.6,2447.6,2518.7,2558.9,2631.5,2633.7,2630.7,2631.9,2642.9,2657.0,2641.0,2615.3,2580.4,2562.8,2514.1,2370.1,2165.9,2059.7,2045.4,2050.8,2039.4,2112.1,2123.6,2171.1,2173.9,2236.3,2334.9,2400.1,2487.5,2545.5,2559.7,2609.5,2661.2,2697.5,2755.7,2816.9,2870.8,2961.3,3038.1,3086.5,3107.0,3139.9,3176.8,3169.7,3182.0,3215.9,3256.2,3302.8,3356.8,3407.4,3445.3,3530.4,3610.6,3666.1,3690.0,3706.7,3735.8,3820.8,3869.4,3857.1,3841.0,3552.6,3802.4,3968.3,4086.7,4182.2,4231.0,4346.4,4539.9,4669.6,4727.8,4749.0,4826.3,4925.7,4974.2,5046.1,5138.5,5201.1,5269.2
