Table 1.1. U.S. International Transactions
Table 1.1. U.S. International Transactions
"Release Date: December 18, 2024 - Next Release Date: March 20, 2025"
Line,,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted
Line,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
,Current account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Exports of goods and services and income receipts (credits),353384,374020,375899,382816,362874,356298,328764,320204,319035,340454,341987,344029,339702,354484,357628,385334,393825,414069,414028,439181,450621,468654,472581,501296,513073,552984,553736,584424,583068,631022,652010,681835,682750,721227,711591,638809,548609,563274,586709,632577,626093,664581,679255,717528,716589,765298,776414,778374,768600,787945,787117,807469,782574,811708,814407,841721,811104,858811,853018,856128,791582,827656,814981,804352,766135,808379,820467,844210,840910,870160,900167,939196,912447,963151,951738,966670,936352,972263,964487,969136,890325,709443,806939,874660,883075,930983,953127,1027375,1011284,1110753,1137358,1153128,1121094,1146043,1179089,1198957,1171677,1204807,1208596
2,"  Exports of goods and services",256591,272148,275107,279117,266291,264686,244034,240355,234629,250644,247940,252882,244070,253064,254790,276262,277483,292801,289918,307917,305799,324493,320656,340554,342574,368458,365911,387047,383185,409715,420319,447597,446614,482703,482460,437809,368569,383435,401597,439191,431149,460042,473008,508122,502420,539071,548502,553559,544472,565895,558101,578985,554248,579200,578126,601549,571777,605587,603518,611732,556199,583785,572090,568704,527853,561001,569894,582076,567415,595301,600214,631546,611365,647562,637771,645765,616189,643872,637266,648950,591901,457469,524643,586134,587265,634092,640495,708949,696637,777155,783761,781851,748107,759311,774226,790172,764968,794849,810813
3,"    Goods",188078,197177,196555,203130,195640,191128,170674,173889,167611,178889,173392,178143,175776,181802,177447,195421,197570,207467,202647,215900,216722,231823,224439,240032,246198,263162,259111,272434,272304,289229,291785,311833,319810,345338,342707,300940,249584,255234,267500,298013,299749,318047,321391,351091,355244,377577,378134,387931,385886,395474,382646,398625,386844,400853,391943,414067,395935,414337,408318,416973,374768,390159,373999,372455,347952,364956,364621,379864,375105,386764,384279,410855,405386,432294,416296,422938,410702,418366,408872,417159,395384,291188,353895,393385,406259,439563,437172,482859,483228,541550,541471,524091,511718,504300,511728,517476,511540,523098,525757
4,"    Services",68513,74971,78553,75986,70651,73558,73360,66466,67018,71755,74548,74739,68294,71262,77343,80841,79913,85334,87271,92018,89078,92670,96217,100522,96376,105296,106800,114614,110880,120486,128534,135764,126805,137365,139753,136869,118985,128202,134096,141178,131399,141995,151616,157030,147177,161494,170368,165627,158586,170421,175456,180360,167404,178346,186182,187481,175843,191250,195200,194759,181431,193626,198091,196250,179901,196046,205272,202212,192310,208538,215935,220691,205979,215268,221475,222827,205486,225506,228394,231791,196517,166281,170748,192749,181006,194528,203324,226090,213409,235605,242290,257760,236389,255011,262499,272696,253428,271752,285056
5,"  Primary income receipts",87412,92900,91408,93892,86781,81484,74310,68789,72471,76937,80282,76702,81572,85395,86833,93130,101551,106920,109526,114842,125778,130328,135766,144422,151771,167370,171896,178882,184427,204659,213417,214436,217457,218276,208544,175968,157614,158185,165034,172390,173803,181036,183185,185198,190449,201099,202070,197852,198524,195118,199790,198180,197444,202763,204877,206416,205515,209886,218071,212386,202464,209100,210891,202474,204143,212408,215304,225385,230076,237763,256432,271171,266249,278514,275165,283036,282233,289984,286062,281032,257189,211159,239435,246222,251652,253936,268945,274035,270608,288333,308288,317195,325941,337041,357230,356509,356826,359792,347679
6,"    Investment income",86314,91802,90310,92792,85654,80357,73180,67659,71331,75796,79138,75557,80408,84229,85664,91958,100368,105740,108342,113655,124581,129131,134565,143220,150512,166106,170626,177607,183130,203358,212109,213122,216121,216934,207198,174627,156193,156752,163591,170946,172327,179552,181699,183714,188926,199572,200538,196329,197002,193565,198205,196538,195817,201107,203208,204756,203892,208262,216442,210759,200821,207452,209243,200835,202521,210808,213731,223851,228514,236190,254832,269559,264556,276784,273408,281275,280478,288224,284293,279265,255424,209499,237742,244513,249902,252169,267164,272240,268780,286490,306423,315324,324029,335111,355283,354562,354865,357827,345705
7,"    Compensation of employees",1099,1098,1098,1100,1127,1127,1129,1130,1140,1141,1144,1145,1164,1167,1169,1172,1183,1180,1184,1187,1197,1197,1200,1201,1259,1264,1270,1275,1297,1301,1308,1313,1336,1341,1346,1341,1421,1432,1443,1444,1476,1484,1486,1484,1523,1527,1531,1523,1523,1553,1585,1642,1627,1656,1670,1660,1623,1624,1629,1627,1643,1648,1648,1639,1622,1601,1572,1535,1561,1574,1600,1612,1693,1730,1757,1761,1755,1759,1768,1767,1765,1660,1693,1709,1750,1767,1781,1795,1828,1843,1865,1871,1912,1930,1947,1946,1960,1965,1974
